店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
0000002160,イオン亀田, ,イオン亀田計,51.0,110.0,194.0,327.0,450.0,533.0,640.0,749.0,912.0
"","",211,グロサリー,23.0,45.0,80.0,129.0,180.0,211.0,250.0,291.0,347.0
"","",214,リカー,9.0,19.0,28.0,54.0,72.0,93.0,126.0,148.0,194.0
"","",221,デイリーフーズ,20.0,46.0,86.0,145.0,198.0,229.0,264.0,311.0,371.0
0000002190,木曽福島, ,木曽福島計,19.0,84.0,245.0,405.0,543.0,673.0,813.0,1003.0,1198.0
"","",211,グロサリー,6.0,26.0,93.0,155.0,215.0,270.0,333.0,417.0,490.0
"","",214,リカー,1.0,11.0,34.0,52.0,70.0,92.0,106.0,138.0,179.0
"","",221,デイリーフーズ,11.0,47.0,117.0,198.0,258.0,311.0,375.0,448.0,530.0
0000002360,上田, ,上田計,38.0,120.0,308.0,523.0,767.0,1057.0,1392.0,1744.0,2072.0
"","",211,グロサリー,17.0,71.0,170.0,280.0,398.0,571.0,738.0,918.0,1093.0
"","",214,リカー,5.0,11.0,34.0,62.0,105.0,137.0,225.0,276.0,326.0
"","",221,デイリーフーズ,16.0,38.0,104.0,181.0,263.0,348.0,429.0,549.0,654.0
0000002540,イオン笹口, ,イオン笹口計,44.0,83.0,159.0,272.0,404.0,486.0,605.0,727.0,842.0
"","",211,グロサリー,22.0,41.0,74.0,120.0,179.0,219.0,275.0,323.0,368.0
"","",214,リカー,5.0,11.0,22.0,38.0,51.0,56.0,71.0,98.0,117.0
"","",221,デイリーフーズ,17.0,31.0,63.0,114.0,174.0,212.0,258.0,306.0,357.0
0000003050,イオン山二ツ, ,イオン山二ツ計,27.0,68.0,149.0,236.0,327.0,405.0,493.0,591.0,694.0
"","",211,グロサリー,12.0,31.0,64.0,100.0,137.0,174.0,211.0,246.0,283.0
"","",214,リカー,5.0,12.0,23.0,40.0,55.0,73.0,91.0,116.0,143.0
"","",221,デイリーフーズ,10.0,26.0,62.0,96.0,134.0,158.0,191.0,230.0,267.0
0000003290,イオン上木戸, ,イオン上木戸計,43.0,92.0,168.0,266.0,363.0,428.0,498.0,566.0,659.0
"","",211,グロサリー,16.0,35.0,68.0,108.0,148.0,172.0,200.0,228.0,260.0
"","",214,リカー,8.0,20.0,32.0,43.0,57.0,72.0,87.0,97.0,119.0
"","",221,デイリーフーズ,19.0,37.0,68.0,114.0,158.0,184.0,210.0,241.0,279.0
0000003430,イオン村上肴町, ,イオン村上肴町計,44.0,124.0,199.0,295.0,339.0,384.0,450.0,519.0,600.0
"","",211,グロサリー,20.0,55.0,84.0,121.0,142.0,159.0,187.0,225.0,250.0
"","",214,リカー,5.0,21.0,41.0,61.0,68.0,76.0,91.0,97.0,121.0
"","",221,デイリーフーズ,19.0,48.0,74.0,113.0,130.0,149.0,172.0,198.0,228.0
0000003590,イオン藤見町, ,イオン藤見町計,54.0,97.0,160.0,230.0,300.0,369.0,446.0,524.0,614.0
"","",211,グロサリー,14.0,35.0,71.0,96.0,128.0,165.0,198.0,230.0,266.0
"","",214,リカー,32.0,42.0,50.0,57.0,65.0,73.0,87.0,101.0,121.0
"","",221,デイリーフーズ,8.0,20.0,40.0,78.0,107.0,131.0,161.0,193.0,227.0
0000015060,須坂, ,須坂計,19.0,65.0,136.0,258.0,355.0,445.0,545.0,647.0,736.0
"","",211,グロサリー,10.0,33.0,58.0,112.0,162.0,202.0,255.0,306.0,352.0
"","",214,リカー,5.0,16.0,36.0,46.0,55.0,68.0,78.0,95.0,106.0
"","",221,デイリーフーズ,4.0,16.0,42.0,100.0,138.0,176.0,213.0,246.0,278.0
0000015220,箕輪, ,箕輪計,21.0,97.0,245.0,446.0,549.0,709.0,908.0,1092.0,1272.0
