店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
"","",211,グロサリー,9.0,45.0,105.0,190.0,234.0,304.0,396.0,476.0,549.0
"","",214,リカー,2.0,13.0,39.0,77.0,95.0,131.0,155.0,182.0,225.0
"","",221,デイリーフーズ,10.0,39.0,100.0,179.0,220.0,273.0,357.0,433.0,497.0
0000015250,南松本, ,南松本計,0.0,128.0,374.0,746.0,1101.0,1402.0,1790.0,2284.0,2723.0
"","",211,グロサリー,0.0,76.0,215.0,400.0,590.0,737.0,907.0,1162.0,1383.0
"","",214,リカー,0.0,14.0,40.0,83.0,128.0,180.0,243.0,306.0,358.0
"","",221,デイリーフーズ,0.0,38.0,120.0,263.0,383.0,485.0,640.0,816.0,981.0
0000019810,ネットスーパー調布, ,ネットスーパー調布計,0.0,0.0,7.0,8.0,9.0,9.0,11.0,15.0,16.0
"","",211,グロサリー,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0
"","",214,リカー,0.0,0.0,5.0,5.0,5.0,5.0,6.0,9.0,9.0
"","",221,デイリーフーズ,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
0000027160,松本, ,松本計,0.0,120.0,443.0,829.0,1194.0,1518.0,1976.0,2474.0,3118.0
"","",211,グロサリー,0.0,62.0,208.0,403.0,586.0,744.0,962.0,1203.0,1515.0
"","",214,リカー,0.0,17.0,72.0,105.0,147.0,197.0,283.0,374.0,475.0
"","",221,デイリーフーズ,0.0,41.0,163.0,321.0,461.0,576.0,731.0,897.0,1127.0
0000029050,飯田, ,飯田計,68.0,251.0,566.0,985.0,1308.0,1634.0,2013.0,2534.0,3091.0
"","",211,グロサリー,28.0,114.0,241.0,446.0,589.0,748.0,921.0,1176.0,1430.0
"","",214,リカー,16.0,44.0,120.0,156.0,212.0,251.0,304.0,369.0,446.0
"","",221,デイリーフーズ,24.0,92.0,204.0,383.0,507.0,635.0,788.0,989.0,1215.0
0000029760,佐久平店, ,佐久平店計,52.0,213.0,500.0,909.0,1345.0,1681.0,2129.0,2654.0,3162.0
"","",211,グロサリー,27.0,98.0,248.0,452.0,670.0,823.0,1076.0,1313.0,1548.0
"","",214,リカー,1.0,19.0,57.0,91.0,141.0,193.0,244.0,316.0,396.0
"","",221,デイリーフーズ,24.0,97.0,195.0,366.0,535.0,666.0,809.0,1025.0,1218.0
0000032070,中野, ,中野計,50.0,181.0,448.0,891.0,1091.0,1292.0,1553.0,1827.0,2158.0
"","",211,グロサリー,26.0,96.0,246.0,482.0,586.0,695.0,842.0,983.0,1139.0
"","",214,リカー,11.0,32.0,65.0,116.0,133.0,156.0,187.0,217.0,258.0
"","",221,デイリーフーズ,13.0,52.0,137.0,293.0,372.0,441.0,524.0,627.0,762.0
0000047440,諏訪ステーション, ,諏訪ステーション計,0.0,41.0,142.0,305.0,445.0,599.0,745.0,928.0,1064.0
"","",211,グロサリー,0.0,12.0,57.0,124.0,192.0,256.0,322.0,408.0,472.0
"","",214,リカー,0.0,13.0,30.0,52.0,73.0,108.0,134.0,177.0,202.0
"","",221,デイリーフーズ,0.0,16.0,56.0,130.0,180.0,235.0,289.0,343.0,391.0
0000049770,上所, ,上所計,18.0,57.0,137.0,230.0,331.0,429.0,542.0,646.0,787.0
"","",211,グロサリー,7.0,25.0,62.0,101.0,145.0,184.0,233.0,277.0,332.0
"","",214,リカー,3.0,9.0,19.0,31.0,44.0,62.0,77.0,102.0,131.0
"","",221,デイリーフーズ,8.0,23.0,56.0,98.0,141.0,183.0,233.0,267.0,324.0
0000051490,新津, ,新津計,41.0,119.0,235.0,362.0,496.0,594.0,746.0,904.0,1068.0
"","",211,グロサリー,19.0,61.0,107.0,169.0,230.0,268.0,348.0,419.0,494.0
"","",214,リカー,6.0,10.0,36.0,52.0,72.0,92.0,108.0,138.0,163.0
"","",221,デイリーフーズ,17.0,48.0,93.0,141.0,195.0,233.0,290.0,348.0,411.0
0000052460,上越寺, ,上越寺計,15.0,61.0,129.0,277.0,392.0,481.0,607.0,742.0,882.0
"","",211,グロサリー,6.0,30.0,60.0,123.0,172.0,214.0,268.0,328.0,382.0
"","",214,リカー,0.0,4.0,14.0,36.0,51.0,75.0,99.0,129.0,158.0
"","",221,デイリーフーズ,8.0,27.0,54.0,118.0,168.0,192.0,240.0,285.0,342.0
0000052480,下門前, ,下門前計,21.0,61.0,151.0,274.0,381.0,466.0,551.0,676.0,816.0
"","",211,グロサリー,11.0,26.0,74.0,121.0,173.0,212.0,248.0,298.0,353.0
"","",214,リカー,1.0,5.0,13.0,28.0,43.0,50.0,69.0,91.0,116.0
"","",221,デイリーフーズ,8.0,29.0,64.0,125.0,166.0,203.0,235.0,288.0,346.0
0000052520,白山, ,白山計,37.0,179.0,543.0,1019.0,1458.0,1981.0,2521.0,3193.0,3850.0
"","",211,グロサリー,11.0,74.0,272.0,501.0,712.0,983.0,1252.0,1585.0,1923.0
"","",214,リカー,8.0,26.0,75.0,148.0,193.0,267.0,342.0,422.0,491.0
"","",221,デイリーフーズ,17.0,79.0,196.0,370.0,552.0,731.0,927.0,1186.0,1436.0
0000058950,豊科, ,豊科計,18.0,88.0,274.0,490.0,745.0,903.0,1117.0,1412.0,1689.0
"","",211,グロサリー,13.0,41.0,132.0,220.0,357.0,434.0,528.0,672.0,786.0
"","",214,リカー,0.0,19.0,28.0,48.0,79.0,94.0,124.0,165.0,206.0
"","",221,デイリーフーズ,5.0,28.0,114.0,222.0,309.0,375.0,465.0,575.0,697.0
0000058960,飯田アップルロード, ,飯田アップルロード計,17.0,143.0,400.0,751.0,1020.0,1310.0,1681.0,1998.0,2411.0
"","",211,グロサリー,8.0,80.0,205.0,387.0,519.0,665.0,859.0,1007.0,1214.0
"","",214,リカー,3.0,16.0,65.0,93.0,126.0,164.0,210.0,263.0,322.0
"","",221,デイリーフーズ,6.0,47.0,130.0,271.0,375.0,481.0,612.0,728.0,876.0
0000095860,イオン荒川アコス, ,イオン荒川アコス計,12.0,53.0,174.0,299.0,384.0,464.0,569.0,681.0,803.0
"","",211,グロサリー,4.0,21.0,75.0,125.0,157.0,193.0,228.0,278.0,329.0
"","",214,リカー,3.0,12.0,23.0,43.0,62.0,71.0,94.0,113.0,136.0
"","",221,デイリーフーズ,5.0,20.0,76.0,131.0,165.0,201.0,247.0,290.0,338.0
0000001610,高岡南, ,高岡南計,81.0,248.0,568.0,906.0,1202.0,1490.0,1927.0,2257.0,2711.0
"","",211,グロサリー,39.0,128.0,324.0,488.0,671.0,824.0,1073.0,1234.0,1462.0
"","",214,リカー,9.0,43.0,65.0,103.0,121.0,156.0,201.0,249.0,325.0
"","",221,デイリーフーズ,32.0,77.0,179.0,316.0,409.0,510.0,653.0,774.0,925.0
0000001850,高崎　　　　　　　, ,高崎　　　　　　　計,54.0,226.0,439.0,755.0,1126.0,1539.0,1961.0,2441.0,2988.0
"","",211,グロサリー,36.0,136.0,243.0,412.0,599.0,842.0,1082.0,1335.0,1635.0
"","",214,リカー,1.0,12.0,31.0,76.0,119.0,150.0,193.0,248.0,307.0
"","",221,デイリーフーズ,17.0,78.0,165.0,267.0,409.0,547.0,686.0,858.0,1046.0
0000002140,熊谷, ,熊谷計,27.0,119.0,275.0,468.0,660.0,849.0,1034.0,1211.0,1479.0
"","",211,グロサリー,13.0,49.0,122.0,201.0,294.0,395.0,480.0,562.0,710.0
"","",214,リカー,1.0,21.0,33.0,53.0,77.0,93.0,131.0,142.0,172.0
"","",221,デイリーフーズ,13.0,50.0,120.0,213.0,289.0,362.0,423.0,506.0,596.0
0000002200,新潟西, ,新潟西計,52.0,141.0,382.0,637.0,940.0,1189.0,1430.0,1750.0,2070.0
"","",211,グロサリー,25.0,64.0,175.0,281.0,427.0,543.0,664.0,824.0,976.0
"","",214,リカー,9.0,34.0,80.0,123.0,172.0,210.0,245.0,290.0,339.0
"","",221,デイリーフーズ,18.0,43.0,126.0,232.0,341.0,437.0,521.0,635.0,756.0
0000002620,日の出, ,日の出計,132.0,553.0,1311.0,2415.0,3506.0,4478.0,5569.0,6979.0,8088.0
"","",211,グロサリー,64.0,254.0,602.0,1073.0,1547.0,1969.0,2434.0,3149.0,3636.0
"","",214,リカー,17.0,84.0,180.0,367.0,533.0,720.0,929.0,1097.0,1257.0
"","",221,デイリーフーズ,50.0,216.0,529.0,976.0,1426.0,1789.0,2206.0,2733.0,3194.0
0000006080,銚子　　　　　　　, ,銚子　　　　　　　計,19.0,89.0,299.0,640.0,872.0,1183.0,1516.0,1869.0,2151.0
"","",211,グロサリー,9.0,57.0,181.0,373.0,496.0,658.0,859.0,1060.0,1210.0
"","",214,リカー,2.0,10.0,16.0,37.0,64.0,89.0,121.0,149.0,174.0
"","",221,デイリーフーズ,7.0,21.0,102.0,231.0,312.0,437.0,536.0,660.0,767.0
0000017880,南砂, ,南砂計,150.0,647.0,1370.0,2290.0,3280.0,4145.0,5023.0,5890.0,7068.0
"","",211,グロサリー,73.0,309.0,621.0,1057.0,1530.0,1940.0,2334.0,2714.0,3235.0
"","",214,リカー,19.0,84.0,189.0,297.0,423.0,557.0,702.0,817.0,1073.0
"","",221,デイリーフーズ,58.0,254.0,559.0,936.0,1327.0,1648.0,1987.0,2360.0,2760.0
0000024280,久里浜, ,久里浜計,124.0,519.0,1206.0,1977.0,2823.0,3483.0,4122.0,4989.0,5774.0
"","",211,グロサリー,54.0,250.0,602.0,954.0,1388.0,1748.0,2063.0,2463.0,2868.0
"","",214,リカー,13.0,64.0,144.0,225.0,321.0,393.0,472.0,616.0,718.0
"","",221,デイリーフーズ,57.0,205.0,461.0,797.0,1115.0,1342.0,1587.0,1910.0,2189.0
0000003510,橋本, ,橋本計,82.0,281.0,583.0,946.0,1424.0,1764.0,2208.0,2634.0,3092.0
"","",211,グロサリー,47.0,141.0,296.0,466.0,675.0,838.0,1038.0,1216.0,1411.0
"","",214,リカー,7.0,33.0,63.0,106.0,172.0,215.0,273.0,341.0,417.0
"","",221,デイリーフーズ,28.0,107.0,224.0,374.0,576.0,711.0,897.0,1076.0,1265.0
0000006090,むさし村山, ,むさし村山計,121.0,503.0,1050.0,1912.0,2680.0,3473.0,4618.0,5532.0,6602.0
"","",211,グロサリー,60.0,256.0,493.0,873.0,1220.0,1594.0,2136.0,2565.0,3045.0
"","",214,リカー,11.0,35.0,117.0,218.0,309.0,413.0,584.0,690.0,845.0
"","",221,デイリーフーズ,50.0,212.0,439.0,821.0,1151.0,1466.0,1898.0,2277.0,2712.0
0000006100,新潟南, ,新潟南計,80.0,304.0,722.0,1240.0,1737.0,2236.0,2887.0,3609.0,4244.0
"","",211,グロサリー,40.0,169.0,395.0,652.0,879.0,1149.0,1482.0,1816.0,2113.0
"","",214,リカー,17.0,31.0,77.0,132.0,207.0,259.0,351.0,472.0,562.0
"","",221,デイリーフーズ,24.0,104.0,250.0,456.0,651.0,827.0,1054.0,1321.0,1569.0
0000006610,八千代緑が丘, ,八千代緑が丘計,109.0,436.0,1119.0,1987.0,2793.0,3626.0,4436.0,5330.0,6293.0
"","",211,グロサリー,52.0,220.0,542.0,943.0,1328.0,1727.0,2113.0,2559.0,3025.0
"","",214,リカー,12.0,34.0,145.0,283.0,398.0,545.0,670.0,793.0,943.0
"","",221,デイリーフーズ,44.0,183.0,432.0,761.0,1067.0,1355.0,1653.0,1978.0,2325.0
0000006740,八街　　　　　　　, ,八街　　　　　　　計,52.0,163.0,380.0,621.0,864.0,1088.0,1279.0,1462.0,1659.0
"","",211,グロサリー,23.0,82.0,199.0,323.0,458.0,568.0,657.0,749.0,838.0
"","",214,リカー,6.0,29.0,49.0,80.0,106.0,138.0,167.0,201.0,225.0
"","",221,デイリーフーズ,23.0,52.0,131.0,218.0,300.0,382.0,455.0,512.0,595.0
0000010610,吉川美南, ,吉川美南計,33.0,188.0,475.0,896.0,1259.0,1652.0,1991.0,2443.0,2856.0
"","",211,グロサリー,13.0,94.0,230.0,415.0,577.0,757.0,913.0,1099.0,1269.0
"","",214,リカー,4.0,11.0,28.0,51.0,88.0,126.0,153.0,222.0,275.0
"","",221,デイリーフーズ,17.0,84.0,217.0,429.0,595.0,769.0,926.0,1122.0,1311.0
0000017280,栃木　　　　　　　, ,栃木　　　　　　　計,82.0,222.0,494.0,893.0,1222.0,1624.0,2019.0,2449.0,2977.0
"","",211,グロサリー,37.0,110.0,254.0,437.0,599.0,827.0,1039.0,1261.0,1515.0
"","",214,リカー,11.0,29.0,64.0,109.0,130.0,163.0,196.0,229.0,293.0
"","",221,デイリーフーズ,33.0,83.0,176.0,346.0,493.0,633.0,784.0,960.0,1169.0
0000024150,かほく, ,かほく計,50.0,220.0,565.0,1088.0,1510.0,1924.0,2421.0,3012.0,3631.0
"","",211,グロサリー,20.0,116.0,327.0,581.0,809.0,1032.0,1277.0,1577.0,1898.0
"","",214,リカー,1.0,19.0,42.0,115.0,154.0,211.0,300.0,400.0,483.0
"","",221,デイリーフーズ,30.0,85.0,197.0,392.0,547.0,681.0,843.0,1035.0,1250.0
0000031060,金沢シーサイド, ,金沢シーサイド計,64.0,236.0,671.0,1253.0,1839.0,2304.0,2791.0,3426.0,4152.0
"","",211,グロサリー,29.0,109.0,295.0,539.0,792.0,1002.0,1224.0,1497.0,1820.0
"","",214,リカー,10.0,32.0,98.0,184.0,268.0,340.0,411.0,532.0,641.0
"","",221,デイリーフーズ,25.0,94.0,278.0,530.0,780.0,963.0,1156.0,1397.0,1691.0
0000006780,高根木戸, ,高根木戸計,57.0,238.0,644.0,1174.0,1616.0,1982.0,2463.0,2943.0,3366.0
"","",211,グロサリー,23.0,102.0,284.0,533.0,732.0,901.0,1126.0,1347.0,1533.0
"","",214,リカー,17.0,48.0,104.0,160.0,219.0,266.0,317.0,372.0,439.0
"","",221,デイリーフーズ,17.0,87.0,256.0,480.0,664.0,815.0,1020.0,1225.0,1394.0
0000015370,大和鶴間, ,大和鶴間計,188.0,600.0,1306.0,2122.0,3101.0,3871.0,4754.0,5668.0,6841.0
"","",211,グロサリー,86.0,272.0,607.0,965.0,1411.0,1791.0,2207.0,2630.0,3142.0
"","",214,リカー,30.0,107.0,203.0,315.0,436.0,516.0,616.0,735.0,927.0
"","",221,デイリーフーズ,72.0,220.0,496.0,841.0,1253.0,1564.0,1931.0,2303.0,2772.0
0000017340,小山　　　　　　　, ,小山　　　　　　　計,132.0,370.0,720.0,1144.0,1536.0,1890.0,2400.0,2880.0,3493.0
"","",211,グロサリー,58.0,159.0,343.0,545.0,735.0,897.0,1155.0,1382.0,1682.0
"","",214,リカー,15.0,45.0,87.0,119.0,148.0,183.0,252.0,297.0,359.0
"","",221,デイリーフーズ,59.0,167.0,291.0,480.0,653.0,810.0,993.0,1201.0,1452.0
0000025250,高岡, ,高岡計,149.0,270.0,428.0,606.0,784.0,946.0,1065.0,1222.0,1405.0
"","",211,グロサリー,66.0,133.0,225.0,307.0,391.0,491.0,553.0,626.0,698.0
"","",214,リカー,36.0,55.0,71.0,107.0,142.0,158.0,179.0,204.0,263.0
"","",221,デイリーフーズ,46.0,82.0,131.0,192.0,250.0,298.0,333.0,392.0,445.0
0000031100,駒岡店, ,駒岡店計,385.0,742.0,1290.0,2023.0,2672.0,3207.0,3772.0,4345.0,5014.0
"","",211,グロサリー,169.0,308.0,586.0,934.0,1232.0,1493.0,1757.0,2052.0,2375.0
"","",214,リカー,75.0,157.0,220.0,335.0,430.0,501.0,589.0,668.0,778.0
"","",221,デイリーフーズ,141.0,277.0,484.0,754.0,1011.0,1212.0,1425.0,1625.0,1861.0
0000032060,与野, ,与野計,267.0,673.0,1566.0,2794.0,3938.0,4950.0,6209.0,7630.0,8940.0
"","",211,グロサリー,140.0,345.0,779.0,1375.0,1945.0,2464.0,3072.0,3794.0,4444.0
"","",214,リカー,41.0,88.0,203.0,313.0,459.0,577.0,767.0,966.0,1147.0
"","",221,デイリーフーズ,86.0,241.0,583.0,1106.0,1534.0,1909.0,2370.0,2870.0,3348.0
0000060320,西新井, ,西新井計,68.0,181.0,476.0,838.0,1307.0,1615.0,2013.0,2397.0,2987.0
"","",211,グロサリー,33.0,84.0,230.0,385.0,599.0,738.0,929.0,1103.0,1367.0
"","",214,リカー,11.0,31.0,72.0,131.0,218.0,274.0,342.0,404.0,499.0
"","",221,デイリーフーズ,24.0,66.0,174.0,322.0,490.0,602.0,742.0,890.0,1121.0
0000006760,東金　　　　　　　, ,東金　　　　　　　計,0.0,75.0,353.0,664.0,913.0,1188.0,1482.0,1811.0,2143.0
"","",211,グロサリー,0.0,38.0,167.0,314.0,429.0,570.0,722.0,852.0,995.0
"","",214,リカー,0.0,12.0,53.0,75.0,111.0,144.0,173.0,229.0,278.0
"","",221,デイリーフーズ,0.0,25.0,133.0,275.0,372.0,474.0,587.0,730.0,870.0
0000006880,ノア, ,ノア計,68.0,230.0,668.0,1099.0,1623.0,1986.0,2455.0,3007.0,3494.0
"","",211,グロサリー,26.0,118.0,315.0,516.0,784.0,953.0,1179.0,1434.0,1662.0
"","",214,リカー,10.0,16.0,57.0,88.0,127.0,153.0,212.0,273.0,337.0
"","",221,デイリーフーズ,32.0,96.0,297.0,495.0,713.0,880.0,1063.0,1300.0,1495.0
0000017360,笠間　　　　　　　, ,笠間　　　　　　　計,44.0,118.0,405.0,833.0,1108.0,1354.0,1679.0,2095.0,2537.0
"","",211,グロサリー,20.0,51.0,173.0,376.0,510.0,635.0,796.0,970.0,1141.0
"","",214,リカー,11.0,29.0,82.0,126.0,166.0,191.0,226.0,305.0,408.0
"","",221,デイリーフーズ,13.0,39.0,150.0,331.0,432.0,527.0,657.0,820.0,988.0
0000017380,今市　　　　　　　, ,今市　　　　　　　計,86.0,197.0,387.0,757.0,1031.0,1245.0,1556.0,1859.0,2190.0
"","",211,グロサリー,42.0,87.0,173.0,346.0,469.0,566.0,700.0,846.0,990.0
"","",214,リカー,4.0,28.0,64.0,118.0,167.0,195.0,264.0,307.0,362.0
"","",221,デイリーフーズ,40.0,82.0,150.0,292.0,396.0,485.0,591.0,706.0,838.0
0000017910,大和, ,大和計,89.0,383.0,1023.0,1714.0,2453.0,3055.0,3907.0,4589.0,5425.0
"","",211,グロサリー,50.0,186.0,485.0,825.0,1202.0,1478.0,1858.0,2210.0,2612.0
"","",214,リカー,11.0,58.0,142.0,218.0,314.0,406.0,533.0,612.0,741.0
"","",221,デイリーフーズ,28.0,139.0,396.0,671.0,937.0,1172.0,1516.0,1767.0,2072.0
0000025280,小松, ,小松計,222.0,330.0,554.0,913.0,1147.0,1433.0,1630.0,1902.0,2216.0
"","",211,グロサリー,109.0,160.0,269.0,433.0,547.0,683.0,774.0,912.0,1063.0
"","",214,リカー,31.0,52.0,75.0,111.0,137.0,165.0,191.0,219.0,270.0
"","",221,デイリーフーズ,81.0,118.0,210.0,370.0,464.0,584.0,665.0,771.0,884.0
0000049490,上麻生, ,上麻生計,0.0,65.0,201.0,384.0,506.0,613.0,757.0,939.0,1116.0
"","",211,グロサリー,0.0,26.0,80.0,158.0,213.0,256.0,326.0,394.0,466.0
"","",214,リカー,0.0,7.0,25.0,43.0,52.0,68.0,83.0,122.0,145.0
"","",221,デイリーフーズ,0.0,33.0,96.0,183.0,240.0,289.0,349.0,424.0,505.0
0000082910,ヴィルマルシェ青山, ,ヴィルマルシェ青山計,19.0,63.0,149.0,260.0,360.0,462.0,541.0,631.0,718.0
"","",211,グロサリー,10.0,28.0,67.0,122.0,157.0,201.0,232.0,269.0,304.0
"","",214,リカー,0.0,6.0,9.0,17.0,34.0,52.0,61.0,68.0,81.0
"","",221,デイリーフーズ,8.0,30.0,73.0,122.0,169.0,209.0,247.0,294.0,333.0
0000006820,臼井, ,臼井計,40.0,191.0,485.0,864.0,1166.0,1421.0,1723.0,2056.0,2376.0
"","",211,グロサリー,12.0,88.0,225.0,409.0,538.0,657.0,801.0,966.0,1105.0
"","",214,リカー,5.0,29.0,66.0,99.0,130.0,149.0,176.0,212.0,254.0
"","",221,デイリーフーズ,22.0,74.0,194.0,356.0,498.0,614.0,746.0,878.0,1017.0
0000009210,三条, ,三条計,228.0,309.0,522.0,729.0,879.0,1050.0,1207.0,1429.0,1675.0
"","",211,グロサリー,104.0,140.0,225.0,324.0,392.0,476.0,536.0,642.0,747.0
"","",214,リカー,47.0,61.0,100.0,121.0,147.0,166.0,198.0,233.0,284.0
"","",221,デイリーフーズ,76.0,109.0,197.0,284.0,340.0,407.0,473.0,553.0,644.0
0000017370,常陸大宮　　　　　, ,常陸大宮　　　　　計,48.0,121.0,323.0,537.0,726.0,867.0,1054.0,1280.0,1595.0
"","",211,グロサリー,21.0,61.0,166.0,275.0,369.0,441.0,520.0,646.0,795.0
"","",214,リカー,13.0,28.0,66.0,87.0,120.0,135.0,172.0,202.0,263.0
"","",221,デイリーフーズ,14.0,31.0,91.0,176.0,237.0,291.0,362.0,432.0,537.0
0000024510,みぶ　　　　　　　, ,みぶ　　　　　　　計,78.0,163.0,308.0,448.0,580.0,674.0,785.0,917.0,1071.0
"","",211,グロサリー,35.0,79.0,147.0,208.0,260.0,306.0,351.0,411.0,472.0
"","",214,リカー,13.0,28.0,51.0,74.0,104.0,114.0,136.0,165.0,201.0
"","",221,デイリーフーズ,30.0,56.0,109.0,166.0,216.0,254.0,298.0,341.0,398.0
0000031030,藤沢, ,藤沢計,128.0,399.0,933.0,1534.0,2082.0,2534.0,3073.0,3608.0,4188.0
"","",211,グロサリー,46.0,173.0,410.0,675.0,917.0,1119.0,1349.0,1563.0,1813.0
"","",214,リカー,31.0,64.0,125.0,208.0,283.0,349.0,430.0,517.0,626.0
"","",221,デイリーフーズ,51.0,163.0,398.0,652.0,881.0,1066.0,1293.0,1529.0,1749.0
0000031080,八潮南, ,八潮南計,50.0,154.0,372.0,680.0,936.0,1151.0,1485.0,1785.0,2134.0
"","",211,グロサリー,17.0,46.0,151.0,277.0,388.0,491.0,641.0,776.0,906.0
"","",214,リカー,8.0,32.0,64.0,119.0,149.0,170.0,226.0,260.0,316.0
"","",221,デイリーフーズ,25.0,76.0,157.0,284.0,399.0,490.0,618.0,748.0,912.0
0000032290,美園三丁目, ,美園三丁目計,12.0,61.0,102.0,219.0,334.0,391.0,479.0,583.0,738.0
"","",211,グロサリー,5.0,29.0,50.0,98.0,146.0,170.0,213.0,255.0,314.0
"","",214,リカー,0.0,6.0,10.0,25.0,42.0,46.0,53.0,67.0,93.0
"","",221,デイリーフーズ,7.0,26.0,41.0,97.0,145.0,175.0,214.0,261.0,331.0
0000049500,戸塚, ,戸塚計,0.0,244.0,643.0,1191.0,1812.0,2287.0,2948.0,3589.0,4220.0
"","",211,グロサリー,0.0,105.0,268.0,479.0,743.0,951.0,1247.0,1523.0,1785.0
"","",214,リカー,0.0,50.0,109.0,211.0,309.0,391.0,484.0,561.0,662.0
"","",221,デイリーフーズ,0.0,90.0,267.0,500.0,760.0,944.0,1217.0,1505.0,1773.0
0000049810,河辺, ,河辺計,0.0,107.0,369.0,749.0,1068.0,1394.0,1737.0,2068.0,2509.0
"","",211,グロサリー,0.0,41.0,154.0,295.0,425.0,564.0,698.0,828.0,995.0
"","",214,リカー,0.0,12.0,48.0,87.0,114.0,151.0,187.0,231.0,317.0
"","",221,デイリーフーズ,0.0,54.0,167.0,366.0,528.0,679.0,852.0,1010.0,1198.0
0000009350,長岡, ,長岡計,36.0,174.0,399.0,701.0,965.0,1250.0,1519.0,1891.0,2176.0
"","",211,グロサリー,20.0,84.0,193.0,338.0,458.0,602.0,736.0,925.0,1075.0
"","",214,リカー,7.0,49.0,79.0,124.0,160.0,215.0,261.0,328.0,359.0
"","",221,デイリーフーズ,9.0,41.0,126.0,240.0,347.0,433.0,522.0,639.0,742.0
