店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
"","",214,リカー,5.0,11.0,23.0,48.0,90.0,106.0,125.0,156.0,197.0
"","",221,デイリーフーズ,8.0,44.0,86.0,228.0,301.0,357.0,420.0,471.0,536.0
0000047440,諏訪ステーション, ,諏訪ステーション計,0.0,33.0,95.0,193.0,276.0,334.0,397.0,509.0,627.0
"","",211,グロサリー,0.0,16.0,45.0,100.0,138.0,171.0,196.0,255.0,297.0
"","",214,リカー,0.0,1.0,10.0,22.0,36.0,38.0,49.0,57.0,82.0
"","",221,デイリーフーズ,0.0,17.0,39.0,72.0,102.0,125.0,152.0,197.0,248.0
0000049770,上所, ,上所計,13.0,62.0,112.0,203.0,273.0,352.0,428.0,517.0,631.0
"","",211,グロサリー,6.0,33.0,54.0,90.0,128.0,157.0,189.0,218.0,261.0
"","",214,リカー,0.0,2.0,7.0,23.0,32.0,48.0,65.0,85.0,106.0
"","",221,デイリーフーズ,7.0,26.0,50.0,90.0,113.0,147.0,175.0,214.0,264.0
0000051490,新津, ,新津計,19.0,63.0,137.0,238.0,316.0,385.0,477.0,576.0,714.0
"","",211,グロサリー,12.0,34.0,65.0,106.0,132.0,161.0,201.0,246.0,306.0
"","",214,リカー,1.0,6.0,21.0,36.0,56.0,66.0,77.0,93.0,111.0
"","",221,デイリーフーズ,6.0,23.0,51.0,97.0,128.0,158.0,199.0,237.0,296.0
0000052460,上越寺, ,上越寺計,5.0,40.0,130.0,217.0,280.0,329.0,395.0,489.0,609.0
"","",211,グロサリー,4.0,20.0,63.0,95.0,118.0,137.0,161.0,196.0,241.0
"","",214,リカー,0.0,6.0,26.0,40.0,54.0,62.0,74.0,86.0,110.0
"","",221,デイリーフーズ,1.0,15.0,40.0,82.0,108.0,130.0,160.0,208.0,258.0
0000052480,下門前, ,下門前計,21.0,60.0,108.0,227.0,320.0,383.0,444.0,559.0,690.0
"","",211,グロサリー,13.0,30.0,52.0,110.0,154.0,183.0,209.0,261.0,315.0
"","",214,リカー,4.0,14.0,18.0,24.0,34.0,46.0,53.0,67.0,89.0
"","",221,デイリーフーズ,4.0,16.0,38.0,94.0,131.0,155.0,182.0,231.0,286.0
0000052520,白山, ,白山計,24.0,84.0,343.0,716.0,1104.0,1435.0,1834.0,2265.0,2668.0
"","",211,グロサリー,15.0,40.0,178.0,367.0,564.0,733.0,952.0,1166.0,1360.0
"","",214,リカー,1.0,7.0,33.0,86.0,132.0,164.0,200.0,240.0,281.0
"","",221,デイリーフーズ,8.0,36.0,132.0,263.0,409.0,537.0,682.0,858.0,1027.0
0000058950,豊科, ,豊科計,20.0,77.0,247.0,455.0,573.0,709.0,868.0,1027.0,1169.0
"","",211,グロサリー,10.0,34.0,122.0,235.0,292.0,361.0,422.0,496.0,562.0
"","",214,リカー,4.0,9.0,27.0,46.0,52.0,61.0,91.0,103.0,121.0
"","",221,デイリーフーズ,7.0,34.0,98.0,174.0,228.0,287.0,355.0,428.0,486.0
0000058960,飯田アップルロード, ,飯田アップルロード計,16.0,78.0,285.0,492.0,710.0,845.0,1094.0,1319.0,1620.0
"","",211,グロサリー,8.0,42.0,156.0,259.0,378.0,444.0,597.0,709.0,854.0
